city ,AQI,precipitation,GDP,Temperature,Longititute,Latitude,Altitude,PopulationDensity,Coastal,GreenCoverageRate,Incineration(10000ton)
Yonggu,137,1530.7,2772.42,29.94,112.15,42.13,1403.33,11314,0,19.35,218.96
Shar,48,1538.3,13498.37,12.84,119.69,25.21,4428.04,24353,0,20.08,167.82
Mabini,99,255.9,4669.11,23.58,82.82,34.41,2656.75,5759,1,25.12,300.39
Harar,158,500.8,11677.88,4.23,104.59,18.91,895.33,5115,0,38.06,405.85
Pompano Beach,218,1330.2,12883.14,15.01,89.98,21.28,3965.37,6472,1,49.92,680.25
Karangnongko,290,2109.1,4141.95,16.52,129.8,21.61,3158.41,15070,1,27.57,503.94
Penedo,117,167.8,1613.94,18.72,115.1,35.29,4052.04,15037,0,39.43,63.68
Jinshan,212,222.0,5830.6,24.62,98.81,28.94,775.23,20421,0,71.26,431.04
Yitulihe,45,1745.1,13631.15,3.71,97.0,26.06,1245.28,18595,0,48.86,26.32
Ylitornio,187,776.3,14639.21,4.73,98.99,49.8,936.15,3890,1,47.53,679.24
Saño,167,74.7,4837.11,2.52,116.82,26.55,2136.31,6670,0,25.28,135.66
Monasterevin,258,1585.5,20276.39,2.48,91.61,19.24,61.85,24792,0,19.4,337.42
Stockholm,185,1025.8,21805.94,12.52,119.87,21.51,1028.17,16982,1,28.53,86.75
Choros,86,2030.3,3624.53,21.32,99.93,45.84,1120.78,7820,1,20.91,479.68
Bingfang,201,759.2,8910.39,14.96,92.99,36.71,811.85,7496,0,74.25,134.32
Luoting,206,1137.1,419.65,1.72,91.42,45.81,2133.97,16458,0,43.8,497.7
Al Qaryatayn,139,1114.1,929.65,26.92,92.86,40.55,3400.78,21596,0,19.22,314.43
Bozoum,111,1672.8,3295.39,11.28,100.78,31.45,1221.17,19470,1,38.24,124.19
Khalopyenichy,297,486.9,5396.6,3.62,88.72,22.77,1849.27,25471,0,62.5,111.23
Chaiyaphum,170,63.3,20955.74,27.56,124.95,23.02,1453.9,3117,1,36.48,576.41
General Santos,244,570.4,20900.86,14.94,118.02,26.82,1418.99,1119,0,40.48,60.99
Novaya Tavolzhanka,191,1131.7,4039.43,20.21,115.77,35.94,2889.46,10517,1,35.85,568.71
Takedamachi,299,191.0,4182.54,7.75,90.65,20.48,1382.7,4260,0,11.16,308.78
Frei,209,1149.1,22642.54,5.2,82.53,43.45,2701.8,4553,0,54.37,564.22
Vukatanë,25,2357.7,16235.1,29.14,116.71,39.69,3069.85,25218,0,13.01,674.65
Hägersten,264,1122.9,15005.78,0.31,85.64,29.1,3704.74,4971,0,38.14,154.34
Xincheng,75,1997.9,21522.82,25.92,113.73,44.08,1182.19,13660,0,28.02,277.19
Assiniboia,286,1137.2,14303.14,5.17,106.46,42.0,4030.86,21750,0,45.43,174.96
Dawa-Dawa,156,2040.4,9388.56,7.9,123.58,45.29,2571.84,21320,0,20.56,542.05
Rosebank,140,1740.5,23846.15,1.06,85.46,31.3,2699.79,16358,0,52.64,192.8
Yingzhou,193,1110.4,16797.68,9.73,112.32,49.9,4013.05,17096,0,53.94,161.32
Kol’chugino,68,1698.4,9758.76,21.74,95.89,25.03,1840.92,16939,1,68.76,699.22
San Jose,87,2204.4,3665.13,11.67,80.73,23.36,3511.72,19416,1,48.35,605.57
Chita,29,465.2,14365.89,21.83,120.81,39.86,1555.76,20133,1,7.84,305.11
Gramaços,208,781.3,23147.92,16.83,81.37,37.78,2532.65,7073,0,57.72,62.62
Wąsosz,198,1427.1,2774.68,29.91,127.3,32.86,1620.39,21247,1,10.88,64.29
Oslo,129,107.8,2447.72,0.16,95.08,36.44,630.79,20480,1,54.79,594.43
Tanshi,232,860.6,161.55,28.6,88.18,47.94,270.86,13052,0,61.93,437.89
Yuanshanzi,279,1564.7,21279.77,8.33,112.65,26.82,1480.45,1151,0,36.73,204.18
Berlín,100,1761.8,10586.8,21.47,100.09,34.28,737.09,9364,0,35.96,589.84
Calgary,277,752.1,19589.45,21.85,84.2,20.95,41.05,8861,1,19.31,604.94
Nurmijärvi,167,2196.6,2417.23,8.6,102.92,18.89,1548.03,18725,1,65.34,162.24
Khánh Hải,282,2216.6,16606.3,28.77,81.19,24.8,1703.83,9694,1,52.06,337.64
Bangunsari,88,1060.6,14817.59,3.2,122.97,25.62,1021.02,18919,0,70.22,584.78
Novoshakhtinskiy,275,1477.2,12944.44,21.8,128.59,48.92,3886.54,13044,1,31.26,101.46
Kurye,217,1353.1,10756.21,10.63,127.84,42.46,4340.23,18336,1,69.75,523.27
Lyeskawka,75,748.5,11788.41,6.77,104.76,39.45,3158.37,19622,0,67.69,365.5
Sutukung,55,889.3,18009.71,18.14,100.58,26.12,1952.51,12656,1,54.78,141.92
Nadvoitsy,234,2046.8,5600.25,21.16,86.44,49.55,1640.1,21932,0,32.93,391.41
Bintuni,91,1629.0,8209.31,10.65,123.02,48.71,3731.05,15410,1,38.77,18.04
Sambuluan,205,2130.8,3851.15,11.11,99.15,31.27,2570.41,25211,0,17.19,47.85
Kasreman,68,1943.7,9378.16,11.11,123.95,18.55,4445.01,12519,1,57.44,449.96
Mariestad,260,1984.1,21425.21,13.04,99.39,32.75,1394.48,5572,1,27.79,362.71
Ikalamavony,116,1361.0,21926.96,16.56,86.83,18.42,4258.89,24664,0,29.82,260.82
Khairpur,142,1115.1,23833.75,2.55,97.94,36.77,2474.68,14172,0,44.26,264.54
Pamedilan,287,1869.6,1192.36,9.12,125.95,19.61,1768.9,410,1,64.51,6.38
Leticia,219,1658.3,14160.75,26.6,117.23,22.59,2389.88,9032,0,60.07,73.75
Bajawa,161,609.4,1679.23,21.73,107.23,36.79,4312.01,7930,1,48.94,110.09
Lakkha Nëvre,265,1903.0,10922.77,29.71,105.15,27.92,4314.09,622,0,52.65,97.91
Tuamese,253,675.6,19250.64,12.6,86.44,31.41,617.51,6016,1,62.39,213.16
Jiangnan,263,420.3,8912.15,12.22,86.12,21.69,1183.81,2602,0,53.81,446.64
Aguitu,60,413.2,16209.27,6.9,109.84,28.03,7.86,10406,0,21.02,308.5
Tuban,227,2136.0,1449.97,8.06,114.39,41.14,1535.42,24038,0,40.8,167.14
Pateh Sam,198,2142.8,16937.85,19.38,87.03,41.82,4497.97,9,1,55.79,682.3
Denver,117,1482.2,9320.46,19.66,125.44,38.83,1879.38,21586,1,41.53,601.82
Buket Teukuh,162,2301.6,23265.86,4.42,89.23,48.29,1820.71,22393,1,29.01,167.42
Nueva Esperanza,113,1403.2,22960.69,2.26,120.12,31.11,2467.14,2514,1,10.84,684.91
Tecka,281,1302.0,11904.53,28.67,99.99,48.86,1897.33,24492,0,33.74,686.91
Pryyutivka,254,2073.7,3370.91,10.51,123.85,23.22,1041.26,18198,0,36.72,520.66
Mojocoya,85,1376.9,22364.33,10.83,128.26,40.56,2169.2,4,0,41.62,256.96
Bridgetown,196,1210.1,14862.43,0.66,104.01,19.72,4495.59,387,1,39.78,427.6
Pau,187,929.9,17078.18,18.67,96.4,31.24,4055.12,7331,1,54.52,478.41
Setanggor,128,466.6,6298.56,12.52,87.41,49.14,2319.52,23339,0,22.41,495.88
Boulogne-Billancourt,88,372.8,14818.31,2.38,121.36,31.05,1138.4,6909,1,41.23,207.51
Tian’an,65,1516.6,16575.59,2.83,105.38,36.56,2140.25,7061,1,25.75,678.3
Huacao,185,1301.5,22960.28,21.42,126.28,30.55,1959.46,16800,1,32.81,475.35
Karlstad,138,2295.8,22614.53,15.01,112.49,28.31,572.79,14340,0,64.86,179.4
Meedhoo,233,1175.9,3908.27,13.61,101.79,39.94,475.43,14986,1,59.22,141.98
Dongdu,181,1618.4,23318.35,8.65,84.24,34.17,2996.24,25855,0,32.37,432.54
Aş Şanamayn,167,1819.3,795.46,24.27,109.09,48.05,940.79,15993,1,31.96,4.66
Gastoúni,70,2216.7,14988.39,28.11,109.23,49.83,1009.59,13558,0,52.94,331.09
Morocelí,79,2107.4,11194.13,2.05,96.05,25.01,3460.53,7962,0,19.05,297.49
Magaozhuang,91,443.1,5389.03,14.58,98.53,46.14,3104.11,645,0,55.74,196.93
Stulovo,259,759.1,17635.59,26.82,122.41,29.68,1396.71,11314,1,68.99,57.76
Cheb,203,862.2,16129.19,11.69,101.55,35.16,1151.93,21988,1,12.9,369.27
Llaillay,51,60.6,17017.81,9.5,128.35,42.72,2466.21,12694,0,34.08,664.31
Garbolovo,95,942.6,23737.11,5.96,91.95,29.07,4339.7,22691,1,67.99,197.73
Weiwangzhuang,187,2026.4,20453.19,20.42,127.0,31.83,3530.95,18149,0,70.68,330.05
Bāft,148,2298.5,15263.54,15.56,119.05,33.55,3104.21,13867,1,31.96,564.53
Yablochnyy,274,1617.8,11624.88,29.24,122.03,37.71,3477.61,8518,1,14.27,521.09
Villa María,162,1384.6,13910.62,4.78,119.1,39.94,1501.4,20099,0,34.22,508.12
Göteborg,189,404.4,7195.82,13.86,97.96,33.23,433.0,17903,1,73.42,614.18
Susapaya,114,2047.0,21186.63,4.59,91.6,37.92,1238.84,6943,1,30.45,83.5
Payaman,110,183.1,6007.35,25.61,88.13,47.12,4061.33,5200,1,16.56,476.8
Taiyigong,271,2362.9,14435.67,23.59,116.74,37.94,3499.5,17565,1,9.65,305.46
Rio das Pedras,106,1131.1,18618.54,19.76,90.33,18.55,1898.86,14791,1,61.0,564.82
Wichit,180,1080.3,13724.67,20.86,96.95,42.51,2745.84,1685,1,38.97,531.38
Shenzhengqiao,138,2363.8,12099.94,7.67,101.37,39.1,2607.94,7002,0,28.84,428.74
Västra Frölunda,39,944.2,18870.69,0.17,104.43,25.58,1904.26,19890,1,15.19,482.89
Sendai,192,2342.9,14574.12,22.21,116.87,28.68,4262.69,22225,1,34.04,368.38
Talawi,21,381.0,14447.52,19.42,98.71,48.78,3810.13,21483,1,42.57,191.53
Cahors,293,668.4,12678.62,22.15,82.56,41.1,2541.21,14335,1,73.5,372.85
Bajingmeduro,227,2212.9,4306.55,8.06,107.74,22.51,4154.21,15660,0,45.52,183.19
Neikeng,158,2122.3,14697.2,0.74,121.3,23.21,4232.65,11752,1,45.24,3.29
Santa Vitória do Palmar,232,109.8,23702.81,15.19,80.23,22.33,1885.05,10570,1,39.78,121.02
Ambositra,211,1076.7,9604.7,18.04,109.74,44.23,1550.83,24860,1,73.17,338.77
Postmasburg,28,2256.3,17848.43,20.05,118.54,19.87,2969.0,6648,1,66.19,575.5
Riosucio,179,642.1,4689.58,12.2,105.27,36.88,4057.01,24415,1,53.35,695.76
Shuangxi,280,1271.2,7068.39,16.37,113.13,20.02,3794.97,8617,0,11.05,283.79
Cibiru,272,1245.0,12193.61,28.7,87.1,33.51,118.19,782,0,15.19,525.29
Ruangwa,145,461.7,15206.87,28.19,90.77,20.98,2693.54,766,0,48.12,635.36
Lagangilang,21,1609.9,14651.68,2.32,129.9,46.05,4237.98,20754,0,74.15,107.18
Xilu,119,752.2,12036.35,0.82,89.37,36.0,944.37,2788,1,26.37,299.23
Alanga,180,1354.6,12849.37,25.42,114.57,26.42,3808.32,6750,0,41.26,549.48
Hodkovice nad Mohelkou,297,441.8,2785.5,26.49,107.01,43.11,4091.23,17322,0,8.81,122.37
Tilburg,48,1373.8,2162.84,1.97,88.27,25.91,601.86,15525,0,46.27,71.77
Alfonso,166,472.9,17250.11,9.12,108.66,32.56,2938.7,16813,0,39.53,12.67
Mufulira,108,1426.2,7520.13,4.17,120.08,18.32,2232.03,21068,1,55.06,218.08
Bizana,268,1974.7,3040.2,14.94,94.12,19.45,1335.86,16475,1,72.16,94.14
Inhumas,217,1859.8,8065.8,13.01,128.08,23.52,4401.76,19939,0,46.39,378.41
Tullamore,298,1963.3,15572.72,26.27,109.12,46.56,971.01,11757,0,59.73,266.04
Liuzu,276,1593.4,5719.55,7.85,92.26,30.32,3239.99,6992,0,66.07,500.66
Ngadri,93,1826.5,19859.3,8.92,125.58,29.04,2634.42,19330,1,39.48,244.69
Makui,68,677.1,6669.1,2.31,98.11,43.96,923.95,14222,0,10.45,295.82
Chantilly,83,174.8,11378.01,5.48,123.76,36.9,1727.7,18828,1,28.71,664.89
Le Blanc-Mesnil,292,2120.9,17144.6,1.55,106.4,49.85,2295.36,10124,0,27.01,687.41
Jinhua,75,489.8,14064.14,14.97,87.54,24.42,327.54,6146,0,10.09,516.74
Palhoça,92,2377.7,7175.15,3.97,95.13,39.58,2896.6,18971,0,58.9,285.38
Wakimachi,236,1681.0,5133.97,1.49,117.15,48.59,3187.85,1494,1,72.41,672.2
Horní Stropnice,129,236.6,14642.01,14.28,121.45,44.35,60.17,16417,1,18.73,171.31
Paris 09,247,1404.3,12745.22,0.35,107.09,31.35,1897.08,12596,0,23.6,245.0
Moutnice,199,1150.0,22810.34,2.38,82.59,43.38,3712.59,6382,1,66.86,153.59
Doushan,49,2368.2,13290.06,28.89,117.34,37.7,1495.67,7543,0,25.12,667.01
Monte de Fralães,251,1441.0,10000.2,0.87,92.46,46.73,1346.85,473,0,38.14,203.26
Pidigan,264,134.5,6448.19,16.16,83.77,25.1,3617.27,11425,1,67.68,618.19
Tegalgede,55,2210.4,24374.52,4.88,110.61,39.57,3472.04,21475,1,44.53,312.4
Khon Kaen,204,357.5,2330.56,23.51,89.89,30.42,3822.38,25434,1,26.94,71.3
Vale de São Cosme,42,2394.7,18106.68,27.77,118.04,24.8,2651.18,24301,1,18.72,408.04
Klevan’,291,947.6,13291.38,9.49,101.64,48.55,3082.57,24817,1,34.35,447.24
Nice,211,244.1,12412.37,3.43,81.97,38.84,309.72,14843,1,42.3,386.61
Kanáli,241,1655.8,5670.39,2.8,118.55,35.59,2762.72,17486,1,74.29,258.91
Gjegjan,264,2215.6,20251.53,20.14,92.0,46.06,776.74,14647,0,73.98,518.37
Laocheng,212,207.4,9867.76,10.26,127.22,45.22,832.63,15060,0,22.69,142.63
Ifakara,206,375.6,22900.27,17.86,81.36,38.29,1221.51,23660,1,12.99,499.02
Ariguaní,257,538.4,18496.02,27.31,104.29,27.44,4259.43,3953,1,20.19,251.89
Chenji,171,1137.1,16789.88,20.63,119.56,38.04,685.62,16324,0,20.93,37.8
Watulabara,276,1173.2,9161.99,27.98,82.81,22.23,193.65,20512,1,34.58,18.91
Bejuco,257,1005.2,22468.53,10.42,126.17,19.89,4139.57,2665,0,60.64,511.42
Calasgasan,34,644.4,2289.77,1.59,127.05,45.72,1630.17,1512,1,42.45,573.72
Empangeni,187,1839.6,20601.68,29.51,113.02,27.3,3173.99,21099,1,72.79,567.62
Campok,114,2274.2,15437.54,11.24,92.24,47.16,2824.51,25870,1,70.72,250.51
Santo Niño,174,2140.1,18721.68,3.45,129.21,40.09,3767.1,10721,1,64.85,551.73
Paris 15,83,895.2,19894.79,24.29,124.48,30.22,2370.25,17504,1,7.58,344.45
Wum,108,1391.5,19071.28,22.52,82.32,25.54,4294.38,20086,0,53.24,438.23
Kamiichi,119,1180.7,5931.92,8.6,96.54,31.51,471.0,6787,1,52.12,46.8
Atlasovo,258,2183.3,16513.33,14.06,100.89,42.81,1043.2,1754,0,9.54,206.38
Aristóbulo del Valle,169,1488.9,12954.98,13.61,81.48,39.35,2751.6,1497,1,70.2,114.64
Ternovka,191,386.1,2159.16,8.23,122.43,25.66,1820.19,23043,1,56.11,93.83
Kubang,84,2319.9,16984.32,21.92,88.46,44.47,160.49,22272,0,21.02,84.56
Utarapasar,73,2090.6,697.85,2.0,121.37,29.34,2957.69,5337,0,63.29,684.57
Caçapava do Sul,83,242.9,18274.36,7.59,91.68,32.29,728.43,20375,0,45.03,169.55
Gujiadian,145,2298.3,14789.67,7.95,116.07,28.24,1340.86,12510,1,39.61,135.62
Chor,215,1800.3,10484.69,25.19,111.8,24.24,4245.24,17976,0,33.58,28.34
Ţawr al Bāḩah,107,492.2,7186.34,9.0,106.35,30.57,113.8,2486,0,28.85,282.76
Alabug,54,2337.8,14367.83,17.77,122.62,39.81,281.49,20960,0,7.04,143.35
Nanyuki,175,2368.2,14588.73,18.41,100.26,30.89,2975.56,8822,1,12.16,73.74
Siocon,180,1021.0,20779.35,6.15,97.8,49.44,9.93,2506,1,16.52,223.81
Lao Suea Kok,280,409.9,8657.55,7.11,97.58,26.82,3440.57,19801,0,64.68,216.45
Temorlorong,291,1567.1,23877.23,5.0,97.7,34.11,4112.8,14241,1,60.98,656.52
Taibai,156,1439.9,10160.96,24.68,102.15,20.95,4359.73,7269,0,9.32,421.08
Samanco,139,1608.0,10920.81,10.01,103.91,35.1,225.32,8847,0,19.45,441.01
Tilmi,105,547.1,18481.08,27.4,114.88,24.01,4195.13,23415,1,10.12,384.43
Biting,22,2231.2,8750.18,20.87,119.46,42.58,1093.82,22256,0,67.71,613.35
Charleston,237,684.7,4060.06,4.31,99.08,46.39,1578.76,20171,0,38.99,281.08
Espinho,44,1408.8,20965.65,0.4,90.44,39.93,4131.95,23340,0,12.9,33.26
Palca,84,1582.4,1634.92,29.97,98.46,37.44,838.46,16677,0,37.71,523.27
Yumbel,232,831.7,21697.84,11.2,126.45,19.13,1179.55,3926,1,15.82,311.08
Anmore,290,935.7,2030.12,0.97,94.42,35.38,2815.57,21403,1,14.97,667.26
Skoura,133,1829.4,23439.46,26.14,107.97,45.17,2304.31,305,1,28.33,224.96
Miguel Hidalgo,131,1782.3,15623.76,8.22,115.79,34.97,2917.99,2326,0,32.57,408.36
Thung Yang Daeng,27,89.6,18830.94,22.46,122.65,18.1,3137.5,9602,0,37.53,444.48
Maraial,172,1612.1,12026.49,10.62,96.26,21.55,490.6,7018,1,64.19,371.68
Ibiá,134,628.8,11362.69,12.38,128.55,39.74,3472.39,9213,0,73.46,116.11
Zhdanov,251,1742.8,14022.59,6.03,83.22,26.67,1770.18,16872,0,39.65,639.47
Jishigang,210,792.7,17270.26,7.77,98.72,34.8,4400.41,25880,0,40.87,44.47
Jieyang,296,2195.7,23608.52,5.46,96.74,32.4,2244.89,25095,0,45.73,198.3
Daqian,97,2321.1,8609.48,18.61,112.96,18.36,2375.97,1411,0,13.45,473.49
Żarki,129,224.9,2367.05,24.32,129.6,34.28,1854.37,8999,0,17.86,87.26
Kouango,289,2279.8,15019.83,9.6,128.86,26.45,4183.95,10488,0,16.8,138.9
Kol’chugino,285,856.3,24666.58,6.39,119.12,28.73,2359.22,20457,1,74.18,494.92
Fuji,185,440.2,13499.54,7.41,106.81,34.63,748.08,4802,1,64.2,374.14
Póvoa de Santo António,114,1020.6,23419.82,11.04,117.15,26.07,1275.46,13220,0,58.56,73.73
Medvezh’yegorsk,165,1168.5,4649.11,18.99,91.72,39.82,1447.54,481,1,25.3,521.61
Dawang,108,1771.9,1387.73,9.66,129.34,42.06,461.72,5512,0,30.17,631.09
Reforma,66,2380.0,5890.54,12.17,92.93,27.57,978.58,21974,1,25.18,116.15
Kuče,72,2149.9,6775.29,26.07,91.05,40.76,2128.01,25737,0,66.98,253.39
Lívingston,123,1300.2,9976.22,11.09,95.43,36.1,24.16,25441,1,13.55,532.94
Lysekil,139,822.4,4685.17,20.9,128.63,31.22,2889.53,14098,0,42.22,563.3
Longxi,174,594.8,6732.56,22.73,92.41,41.69,3702.54,8797,0,43.78,656.87
Jaru,139,811.5,1568.28,24.97,92.31,47.41,3042.15,4508,0,19.23,66.17
Menglie,26,359.4,8348.72,2.74,129.14,27.02,1516.54,3195,0,23.57,9.35
Moriya,281,442.0,11270.99,23.26,95.88,30.72,3766.36,6002,0,27.5,631.62
Wright,171,1752.6,11999.16,24.19,108.01,21.26,2657.68,19428,0,27.9,602.3
Belfast,170,1909.0,17226.18,3.45,102.32,41.08,3062.33,8687,0,23.22,592.18
Qorashina,140,1720.4,5718.0,18.8,102.46,41.77,4381.14,9153,0,39.86,482.7
Chãos,63,852.6,10891.12,22.48,116.6,38.8,1072.76,18240,1,54.4,689.28
Ínfias,230,1099.1,3578.03,4.97,117.51,30.35,3944.46,6752,1,74.23,471.16
Tamnag,200,1545.0,13129.01,27.99,122.21,27.23,2885.39,14737,0,35.48,244.69
Pevek,223,2300.1,260.09,10.76,123.81,30.52,2009.13,12136,0,47.92,208.76
Strängnäs,95,1364.2,23839.73,7.46,103.27,28.43,1701.99,12265,0,34.2,191.83
Miragaia,52,1330.6,1128.75,10.66,115.73,42.82,2698.98,14424,1,15.24,220.55
Aībak,150,1240.9,20414.79,22.24,103.63,21.22,2962.69,3137,0,25.88,250.88
Ihosy,87,205.9,11164.09,6.68,121.4,48.06,4050.08,7210,1,71.89,689.46
Erdaojiang,285,301.0,9523.05,26.68,117.92,26.19,2056.58,19890,0,66.72,151.56
La Tuque,257,2171.3,7983.35,27.69,104.98,43.07,86.55,7600,1,54.15,699.83
Liangshui,191,793.9,2173.24,2.84,112.09,41.83,2684.51,12463,0,65.06,33.92
Moscavide,26,1397.0,19090.73,27.09,99.22,46.51,2424.0,4353,0,65.65,73.23
Nàng Mau,61,748.5,21565.97,6.8,122.21,33.24,3487.03,1863,1,39.34,428.28
Fuchang,73,1374.6,15234.9,2.34,84.97,38.65,727.47,8700,1,51.52,388.98
Kerrouchen,34,1235.0,7707.54,24.72,127.75,46.62,1254.89,8065,1,65.01,543.38
Gaspar Hernández,251,2311.2,16403.8,9.57,104.53,27.72,798.05,18687,1,61.06,313.88
Luhans’ke,179,400.2,23330.08,19.33,83.56,38.19,3640.29,4078,0,57.48,376.53
Morioka-shi,216,1498.1,16202.6,12.01,113.83,42.76,1121.21,14776,0,70.17,627.66
Hezheng Chengguanzhen,96,1559.4,22621.47,4.36,102.87,43.29,3561.43,275,1,30.18,428.95
Toguchin,128,586.2,10130.1,8.49,88.1,32.57,772.82,11099,1,59.72,77.55
Lyuban’,176,1245.8,16933.44,23.98,117.18,46.9,1171.28,19917,0,54.84,635.46
Fos-sur-Mer,95,1774.9,18535.26,13.8,80.48,32.9,4125.31,23448,0,72.95,179.89
Hanyuan,119,2064.1,17819.14,16.42,125.66,28.19,747.99,10563,0,62.71,386.96
Jinzipai,129,1212.6,7388.56,24.41,106.94,41.66,144.0,17385,1,20.81,248.94
Gayny,234,621.5,18798.33,1.47,104.24,34.43,376.75,10921,0,70.3,103.55
Montería,139,1517.6,1654.81,27.19,102.4,39.73,3723.58,24132,1,63.6,671.15
Ivry-sur-Seine,141,180.8,2630.0,23.38,126.44,43.2,400.17,24572,1,56.94,469.8
Alannay,129,436.6,5917.78,21.55,89.03,28.8,785.85,939,1,72.65,658.21
Ganyesa,230,1245.0,14651.75,29.85,91.59,38.94,4141.99,24174,0,62.03,63.61
Debre Mark’os,162,1951.8,12333.74,1.19,120.94,44.42,495.23,22758,0,70.84,35.68
Wlingi,118,1934.1,13547.39,10.51,99.2,44.31,3438.47,16165,1,49.42,169.38
Xincheng,292,1126.5,753.72,8.86,95.42,26.65,1366.99,3027,1,48.05,533.88
Mingora,47,549.4,8748.83,19.93,91.06,45.82,3976.25,12109,1,17.02,568.77
Kajiado,251,301.2,17401.46,24.45,120.75,42.81,2301.9,14716,0,10.39,375.28
Lavadorinhos,265,1643.1,18531.02,13.68,122.93,30.22,3628.17,1985,0,21.86,327.6
João Monlevade,112,1117.5,21925.6,12.96,127.48,32.01,2639.18,19511,0,64.19,214.2
Sharm el-Sheikh,170,1444.4,3994.84,11.96,109.08,48.96,4172.96,10615,0,71.33,292.03
Dan Khun Thot,150,185.5,4292.7,14.59,87.81,49.83,3849.53,6636,1,18.7,329.36
Matelândia,237,1229.8,24002.35,13.4,99.59,48.65,1887.89,7096,0,39.51,211.37
Tegalagung,197,250.8,13979.21,12.22,128.37,37.92,2980.02,3977,0,36.6,186.51
Xinyang,192,822.0,2979.23,24.19,87.86,48.1,2870.5,21552,1,32.93,211.43
Tvøroyri,54,2125.7,12844.52,13.08,98.62,30.83,1848.19,23109,0,53.13,336.06
Desa Kertasari,219,859.9,5677.76,4.16,98.69,23.07,1175.58,4673,1,28.93,679.56
Ponte da Pedra,296,481.3,19053.23,0.82,128.03,19.47,2306.75,4743,1,35.08,171.89
Mauhao,24,2135.2,12322.92,18.12,96.96,31.77,1780.46,2670,1,70.85,378.54
Caoyan,271,694.5,22725.01,2.75,116.7,46.75,2437.12,23388,1,31.54,574.31
Quţūr,295,98.2,7339.9,22.54,102.74,31.09,454.92,16991,0,58.95,455.08
Nowy Dwór Mazowiecki,110,895.3,11994.37,25.94,126.11,41.18,3954.21,3175,0,18.65,331.72
Gorzkowice,181,1383.3,3496.82,5.49,100.93,41.84,2235.52,8144,0,65.46,388.15
Ash Shuhadā’,249,1549.7,12032.9,5.97,129.92,49.36,3603.31,3432,1,56.67,203.77
Arjasari,286,1295.2,11196.18,17.51,119.06,31.3,3370.49,10517,1,66.89,313.08
Tarica,88,1360.2,16928.76,8.13,85.91,37.0,2486.59,3890,0,28.44,292.69
Asemanis,32,2126.6,14635.99,22.32,108.72,33.99,2720.73,23357,1,22.12,70.18
Jaroměřice,217,2369.7,15746.06,22.79,123.84,40.38,340.34,15482,1,72.66,294.28
Dongobesh,260,931.6,20667.12,17.15,88.92,43.57,1097.06,10696,0,32.72,451.23
Ifakara,218,2379.9,4665.22,24.49,109.34,31.78,2418.1,1206,0,31.36,678.35
Novoukrainskiy,32,938.2,6062.15,1.03,127.33,36.87,3653.14,2173,1,74.26,528.49
Xarag,109,1906.3,12937.14,16.68,118.9,22.14,4273.88,16162,0,14.1,662.97
Balqash,133,935.1,14324.24,26.36,122.07,26.82,1714.28,5554,1,40.91,395.6
Mene de Mauroa,110,96.6,13266.02,8.14,98.48,29.76,1229.32,9122,1,72.01,6.95
Prado,251,1722.1,24472.38,2.74,102.26,22.44,1775.07,1810,1,55.75,560.47
Borzęcin,291,2117.0,1188.16,11.73,94.67,29.25,2076.71,6839,1,29.16,287.19
Daguo,187,1056.4,5119.69,16.34,123.65,32.21,4212.55,17211,1,54.73,8.77
Jamaica,179,961.2,20826.67,16.66,97.46,27.03,2171.0,6587,1,48.17,444.39
Dulce Nombre,86,808.9,24776.02,27.45,111.04,20.63,267.19,21525,0,14.66,663.72
Longzhong,299,2171.7,13128.0,4.33,103.93,30.88,653.97,21966,0,63.18,614.17
Trzciana,170,1022.3,4415.35,17.17,118.36,41.55,4036.47,10052,1,14.83,684.52
Texistepeque,191,2248.5,18162.25,19.15,121.66,25.45,629.53,24922,0,22.85,229.08
Fuxing,137,823.2,2711.97,15.45,124.33,31.95,2231.23,22073,0,34.11,282.54
Autun,25,662.4,14213.24,12.92,99.06,35.79,3758.96,411,1,74.0,222.23
Fūman,43,2108.5,6812.66,1.85,91.5,28.11,3242.88,10846,1,29.34,29.73
Kerċem,267,1491.5,1804.91,6.14,96.71,32.27,1767.86,7480,0,45.55,652.39
Karangpapak,179,216.3,23545.35,0.04,113.06,21.0,1378.4,12668,1,50.99,269.78
Rijswijk,170,2216.8,23144.36,8.55,102.25,41.69,4321.69,9546,0,12.63,219.18
Mataraben,274,2130.4,16201.54,19.92,88.58,35.9,4226.98,7322,0,44.71,435.05
Timashëvsk,159,2104.5,8262.7,23.24,115.26,39.87,4474.2,3335,1,22.41,492.41
Schaumburg,173,2042.0,12903.71,3.98,102.95,32.72,3254.18,5841,1,57.53,325.72
Jiuli,233,740.2,21480.48,14.91,106.2,43.68,1204.13,2051,0,51.96,579.62
Awsīm,113,1150.1,2981.86,12.94,103.61,26.27,2953.52,4381,1,32.9,370.51
Lysekil,61,1597.6,4635.16,7.88,91.49,19.01,4149.9,25419,1,14.95,294.39
Sangali,208,2086.9,1007.03,28.06,117.25,49.37,1573.21,22319,1,12.28,346.07
Gisiliba,237,941.7,5317.55,2.31,115.44,32.83,1932.25,15712,1,33.64,510.73
Steinkjer,181,1333.4,447.19,8.32,107.46,35.4,591.78,21451,0,25.36,511.32
Sulop,64,665.2,17097.4,25.0,116.74,19.63,1551.12,3573,0,51.82,40.67
